('9d2f7a16-bcd5-4f86-b54f-3737079dbb36', '40508d79-3b6b-45d2-a66f-70591b0e97ce', 'tb3_sim', 1, datetime.datetime(1970, 1, 1, 0, 3, 35, 601000, tzinfo=datetime.timezone.utc), 'camera_depth_frame', None, 320, 240, 'rgb8', 3.516287899419384, 2.0165788784572474, 0.0, 0.0, 0.0, 0.0, True, [40.0], {'tf': {'tf_ok': True, 'base_frame': 'base_footprint', 'camera_frame': 'camera_link', 't_base_camera': [40]}, 'image': {'stamp': {'sec': 215, 'nanosec': 601000000}, 'topic': '/camera/image_raw', 'width': 320, 'height': 240, 'encoding': 'rgb8', 'frame_id': 'camera_depth_frame'}, 'run_id': '40508d79-3b6b-45d2-a66f-70591b0e97ce', 'schema': 'maze.detection.v1', 'event_id': '9d2f7a16-bcd5-4f86-b54f-3737079dbb36', 'odometry': {'x': 3.516287899419384, 'y': 2.0165788784572474, 'z': 0.0, 'qw': 0.32606847498982355, 'qx': 0.0, 'qy': 0.0, 'qz': -0.9453461533310488, 'vx': 0.0, 'vy': 0.0, 'vz': 0.0, 'wx': 0.0, 'wy': 0.0, 'wz': 0.0, 'topic': '/odom', 'frame_id': 'odom'}, 'robot_id': 'tb3_sim', 'sequence': 1, 'detections': [{'det_id': '566ca32d-9e7d-4abe-9c35-feb4d451a3cd', 'class_id': 0, 'bbox_xyxy': [0.8, 146.3, 319.4, 238.9], 'class_name': 'bed', 'confidence': 0.65}]})
('ab5b0800-c86c-488f-bc08-422e0f950166', '40508d79-3b6b-45d2-a66f-70591b0e97ce', 'tb3_sim', 2, datetime.datetime(1970, 1, 1, 0, 3, 36, tzinfo=datetime.timezone.utc), 'camera_depth_frame', None, 320, 240, 'rgb8', 3.516287899419384, 2.0165788784572474, 0.0, 0.0, 0.0, 0.0, True, [40.0], {'tf': {'tf_ok': True, 'base_frame': 'base_footprint', 'camera_frame': 'camera_link', 't_base_camera': [40]}, 'image': {'stamp': {'sec': 216, 'nanosec': 0}, 'topic': '/camera/image_raw', 'width': 320, 'height': 240, 'encoding': 'rgb8', 'frame_id': 'camera_depth_frame'}, 'run_id': '40508d79-3b6b-45d2-a66f-70591b0e97ce', 'schema': 'maze.detection.v1', 'event_id': 'ab5b0800-c86c-488f-bc08-422e0f950166', 'odometry': {'x': 3.516287899419384, 'y': 2.0165788784572474, 'z': 0.0, 'qw': 0.32606847498982355, 'qx': 0.0, 'qy': 0.0, 'qz': -0.9453461533310488, 'vx': 0.0, 'vy': 0.0, 'vz': 0.0, 'wx': 0.0, 'wy': 0.0, 'wz': 0.0, 'topic': '/odom', 'frame_id': 'odom'}, 'robot_id': 'tb3_sim', 'sequence': 2, 'detections': [{'det_id': 'f96b1d6b-c62d-4160-8b16-de7581bb3db7', 'class_id': 0, 'bbox_xyxy': [0.5, 146.6, 319.5, 238.9], 'class_name': 'bed', 'confidence': 0.685}]})
('35067030-11fb-479d-8eb2-4ffce6dec30d', '40508d79-3b6b-45d2-a66f-70591b0e97ce', 'tb3_sim', 3, datetime.datetime(1970, 1, 1, 0, 3, 36, 600000, tzinfo=datetime.timezone.utc), 'camera_depth_frame', None, 320, 240, 'rgb8', 3.516287899419384, 2.0165788784572474, 0.0, 0.0, 0.0, 0.0, True, [40.0], {'tf': {'tf_ok': True, 'base_frame': 'base_footprint', 'camera_frame': 'camera_link', 't_base_camera': [40]}, 'image': {'stamp': {'sec': 216, 'nanosec': 600000000}, 'topic': '/camera/image_raw', 'width': 320, 'height': 240, 'encoding': 'rgb8', 'frame_id': 'camera_depth_frame'}, 'run_id': '40508d79-3b6b-45d2-a66f-70591b0e97ce', 'schema': 'maze.detection.v1', 'event_id': '35067030-11fb-479d-8eb2-4ffce6dec30d', 'odometry': {'x': 3.516287899419384, 'y': 2.0165788784572474, 'z': 0.0, 'qw': 0.32606847498982355, 'qx': 0.0, 'qy': 0.0, 'qz': -0.9453461533310488, 'vx': 0.0, 'vy': 0.0, 'vz': 0.0, 'wx': 0.0, 'wy': 0.0, 'wz': 0.0, 'topic': '/odom', 'frame_id': 'odom'}, 'robot_id': 'tb3_sim', 'sequence': 3, 'detections': [{'det_id': 'ebb1fa97-328d-41ab-9522-b16b8f67ac7a', 'class_id': 0, 'bbox_xyxy': [0.3, 147.3, 319.7, 239.0], 'class_name': 'bed', 'confidence': 0.694}]})
('6f421d42-ab96-4d69-b3a6-b8243838d6e6', '40508d79-3b6b-45d2-a66f-70591b0e97ce', 'tb3_sim', 4, datetime.datetime(1970, 1, 1, 0, 3, 37, 401000, tzinfo=datetime.timezone.utc), 'camera_depth_frame', None, 320, 240, 'rgb8', 3.516287899419384, 2.0165788784572474, 0.0, 0.0, 0.0, 0.0, True, [40.0], {'tf': {'tf_ok': True, 'base_frame': 'base_footprint', 'camera_frame': 'camera_link', 't_base_camera': [40]}, 'image': {'stamp': {'sec': 217, 'nanosec': 401000000}, 'topic': '/camera/image_raw', 'width': 320, 'height': 240, 'encoding': 'rgb8', 'frame_id': 'camera_depth_frame'}, 'run_id': '40508d79-3b6b-45d2-a66f-70591b0e97ce', 'schema': 'maze.detection.v1', 'event_id': '6f421d42-ab96-4d69-b3a6-b8243838d6e6', 'odometry': {'x': 3.516287899419384, 'y': 2.0165788784572474, 'z': 0.0, 'qw': 0.32606847498982355, 'qx': 0.0, 'qy': 0.0, 'qz': -0.9453461533310488, 'vx': 0.0, 'vy': 0.0, 'vz': 0.0, 'wx': 0.0, 'wy': 0.0, 'wz': 0.0, 'topic': '/odom', 'frame_id': 'odom'}, 'robot_id': 'tb3_sim', 'sequence': 4, 'detections': [{'det_id': '53cb4ab5-de50-4cbf-9b9e-d337831797a0', 'class_id': 0, 'bbox_xyxy': [0.4, 148.0, 319.3, 238.9], 'class_name': 'bed', 'confidence': 0.664}]})
('4348205b-4831-41d1-884e-388a79fc6917', '40508d79-3b6b-45d2-a66f-70591b0e97ce', 'tb3_sim', 5, datetime.datetime(1970, 1, 1, 0, 3, 38, 1000, tzinfo=datetime.timezone.utc), 'camera_depth_frame', None, 320, 240, 'rgb8', 3.516287899419384, 2.0165788784572474, 0.0, 0.0, 0.0, 0.0, True, [40.0], {'tf': {'tf_ok': True, 'base_frame': 'base_footprint', 'camera_frame': 'camera_link', 't_base_camera': [40]}, 'image': {'stamp': {'sec': 218, 'nanosec': 1000000}, 'topic': '/camera/image_raw', 'width': 320, 'height': 240, 'encoding': 'rgb8', 'frame_id': 'camera_depth_frame'}, 'run_id': '40508d79-3b6b-45d2-a66f-70591b0e97ce', 'schema': 'maze.detection.v1', 'event_id': '4348205b-4831-41d1-884e-388a79fc6917', 'odometry': {'x': 3.516287899419384, 'y': 2.0165788784572474, 'z': 0.0, 'qw': 0.32606847498982355, 'qx': 0.0, 'qy': 0.0, 'qz': -0.9453461533310488, 'vx': 0.0, 'vy': 0.0, 'vz': 0.0, 'wx': 0.0, 'wy': 0.0, 'wz': 0.0, 'topic': '/odom', 'frame_id': 'odom'}, 'robot_id': 'tb3_sim', 'sequence': 5, 'detections': [{'det_id': '93ea95da-c750-4a55-94cf-8b3bfac9ea92', 'class_id': 0, 'bbox_xyxy': [0.7, 148.9, 319.4, 239.1], 'class_name': 'bed', 'confidence': 0.663}]})
('eeb77b77-f68e-4987-adcd-5ecd5bfa7beb', '40508d79-3b6b-45d2-a66f-70591b0e97ce', 'tb3_sim', 6, datetime.datetime(1970, 1, 1, 0, 3, 38, 802000, tzinfo=datetime.timezone.utc), 'camera_depth_frame', None, 320, 240, 'rgb8', 3.516287899419384, 2.0165788784572474, 0.0, 0.0, 0.0, 0.0, True, [40.0], {'tf': {'tf_ok': True, 'base_frame': 'base_footprint', 'camera_frame': 'camera_link', 't_base_camera': [40]}, 'image': {'stamp': {'sec': 218, 'nanosec': 802000000}, 'topic': '/camera/image_raw', 'width': 320, 'height': 240, 'encoding': 'rgb8', 'frame_id': 'camera_depth_frame'}, 'run_id': '40508d79-3b6b-45d2-a66f-70591b0e97ce', 'schema': 'maze.detection.v1', 'event_id': 'eeb77b77-f68e-4987-adcd-5ecd5bfa7beb', 'odometry': {'x': 3.516287899419384, 'y': 2.0165788784572474, 'z': 0.0, 'qw': 0.32606847498982355, 'qx': 0.0, 'qy': 0.0, 'qz': -0.9453461533310488, 'vx': 0.0, 'vy': 0.0, 'vz': 0.0, 'wx': 0.0, 'wy': 0.0, 'wz': 0.0, 'topic': '/odom', 'frame_id': 'odom'}, 'robot_id': 'tb3_sim', 'sequence': 6, 'detections': [{'det_id': 'cdc37651-2a0c-41eb-9715-5997b334fba8', 'class_id': 0, 'bbox_xyxy': [1.1, 149.6, 319.6, 239.2], 'class_name': 'bed', 'confidence': 0.594}]})
('b5ed3aea-b077-44fd-a6d4-66ec337fee0f', '358d6362-7838-4279-a248-6bf0b3770b44', 'tb3_sim', 1, datetime.datetime(1970, 1, 1, 0, 7, 4, 200000, tzinfo=datetime.timezone.utc), 'camera_depth_frame', None, 320, 240, 'rgb8', 0.7102453809577336, -0.8152026676949171, 0.0, 0.008490207182324887, 0.0, -0.3536267124544715, True, [40.0], {'tf': {'tf_ok': True, 'base_frame': 'base_footprint', 'camera_frame': 'camera_link', 't_base_camera': [40]}, 'image': {'stamp': {'sec': 424, 'nanosec': 200000000}, 'topic': '/camera/image_raw', 'width': 320, 'height': 240, 'encoding': 'rgb8', 'frame_id': 'camera_depth_frame'}, 'run_id': '358d6362-7838-4279-a248-6bf0b3770b44', 'schema': 'maze.detection.v1', 'event_id': 'b5ed3aea-b077-44fd-a6d4-66ec337fee0f', 'odometry': {'x': 0.7102453809577336, 'y': -0.8152026676949171, 'z': 0.0, 'qw': 0.47511393017430475, 'qx': 0.0, 'qy': 0.0, 'qz': -0.879924288421638, 'vx': 0.008490207182324887, 'vy': 0.0, 'vz': 0.0, 'wx': 0.0, 'wy': 0.0, 'wz': -0.3536267124544715, 'topic': '/odom', 'frame_id': 'odom'}, 'robot_id': 'tb3_sim', 'sequence': 1, 'detections': [{'det_id': '43e80a5e-3eaa-48b0-8bc9-fdc977227f01', 'class_id': 0, 'bbox_xyxy': [283.1, 122.6, 313.4, 156.6], 'class_name': 'bicycle', 'confidence': 0.809}]})
('c88be1b1-6546-4dad-88ed-cefe246ee065', '358d6362-7838-4279-a248-6bf0b3770b44', 'tb3_sim', 2, datetime.datetime(1970, 1, 1, 0, 7, 4, 800000, tzinfo=datetime.timezone.utc), 'camera_depth_frame', None, 320, 240, 'rgb8', 0.6967410091771574, -0.8305272642413357, 0.0, 0.055482111573253626, 0.0, -0.4513786673527161, True, [40.0], {'tf': {'tf_ok': True, 'base_frame': 'base_footprint', 'camera_frame': 'camera_link', 't_base_camera': [40]}, 'image': {'stamp': {'sec': 424, 'nanosec': 800000000}, 'topic': '/camera/image_raw', 'width': 320, 'height': 240, 'encoding': 'rgb8', 'frame_id': 'camera_depth_frame'}, 'run_id': '358d6362-7838-4279-a248-6bf0b3770b44', 'schema': 'maze.detection.v1', 'event_id': 'c88be1b1-6546-4dad-88ed-cefe246ee065', 'odometry': {'x': 0.6967410091771574, 'y': -0.8305272642413357, 'z': 0.0, 'qw': 0.3687800815231021, 'qx': 0.0, 'qy': 0.0, 'qz': -0.9295166762741883, 'vx': 0.055482111573253626, 'vy': 0.0, 'vz': 0.0, 'wx': 0.0, 'wy': 0.0, 'wz': -0.4513786673527161, 'topic': '/odom', 'frame_id': 'odom'}, 'robot_id': 'tb3_sim', 'sequence': 2, 'detections': [{'det_id': 'cd415517-ab22-4f79-8a2c-2d5a4ea44d83', 'class_id': 0, 'bbox_xyxy': [294.2, 121.9, 319.8, 157.2], 'class_name': 'bicycle', 'confidence': 0.694}]})
('51b048ff-a8d6-4ea4-bf2c-28966c873f66', '358d6362-7838-4279-a248-6bf0b3770b44', 'tb3_sim', 3, datetime.datetime(1970, 1, 1, 0, 7, 17, 601000, tzinfo=datetime.timezone.utc), 'camera_depth_frame', None, 320, 240, 'rgb8', 0.09669878501506703, -0.5135391401589233, 0.0, -0.13499055802823254, 0.0, -0.17873565852600581, True, [40.0], {'tf': {'tf_ok': True, 'base_frame': 'base_footprint', 'camera_frame': 'camera_link', 't_base_camera': [40]}, 'image': {'stamp': {'sec': 437, 'nanosec': 601000000}, 'topic': '/camera/image_raw', 'width': 320, 'height': 240, 'encoding': 'rgb8', 'frame_id': 'camera_depth_frame'}, 'run_id': '358d6362-7838-4279-a248-6bf0b3770b44', 'schema': 'maze.detection.v1', 'event_id': '51b048ff-a8d6-4ea4-bf2c-28966c873f66', 'odometry': {'x': 0.09669878501506703, 'y': -0.5135391401589233, 'z': 0.0, 'qw': 0.43280452341539477, 'qx': 0.0, 'qy': 0.0, 'qz': -0.9014877949873604, 'vx': -0.13499055802823254, 'vy': 0.0, 'vz': 0.0, 'wx': 0.0, 'wy': 0.0, 'wz': -0.17873565852600581, 'topic': '/odom', 'frame_id': 'odom'}, 'robot_id': 'tb3_sim', 'sequence': 3, 'detections': [{'det_id': 'c058d98f-1f4c-4bae-bf80-27ff73c7fd92', 'class_id': 0, 'bbox_xyxy': [0.1, 122.0, 81.9, 169.5], 'class_name': 'bicycle', 'confidence': 0.897}, {'det_id': '8ab0e2d0-14b4-403d-8a31-118b819013f3', 'class_id': 0, 'bbox_xyxy': [106.7, 134.7, 159.7, 162.8], 'class_name': 'car', 'confidence': 0.789}]})
('a1d554ad-cc31-4d25-9e8a-892801862510', '358d6362-7838-4279-a248-6bf0b3770b44', 'tb3_sim', 4, datetime.datetime(1970, 1, 1, 0, 7, 17, 601000, tzinfo=datetime.timezone.utc), 'camera_depth_frame', None, 320, 240, 'rgb8', 0.19448015987632702, -0.40401739965357286, 0.0, -0.09920269250871898, 0.0, 0.02246372401710236, True, [40.0], {'tf': {'tf_ok': True, 'base_frame': 'base_footprint', 'camera_frame': 'camera_link', 't_base_camera': [40]}, 'image': {'stamp': {'sec': 437, 'nanosec': 601000000}, 'topic': '/camera/image_raw', 'width': 320, 'height': 240, 'encoding': 'rgb8', 'frame_id': 'camera_depth_frame'}, 'run_id': '358d6362-7838-4279-a248-6bf0b3770b44', 'schema': 'maze.detection.v1', 'event_id': 'a1d554ad-cc31-4d25-9e8a-892801862510', 'odometry': {'x': 0.19448015987632702, 'y': -0.40401739965357286, 'z': 0.0, 'qw': 0.40046709619497756, 'qx': 0.0, 'qy': 0.0, 'qz': -0.9163111397692176, 'vx': -0.09920269250871898, 'vy': 0.0, 'vz': 0.0, 'wx': 0.0, 'wy': 0.0, 'wz': 0.02246372401710236, 'topic': '/odom', 'frame_id': 'odom'}, 'robot_id': 'tb3_sim', 'sequence': 4, 'detections': [{'det_id': '93a1a4d6-f20e-4134-b943-674acb019c65', 'class_id': 0, 'bbox_xyxy': [0.0, 121.9, 55.4, 163.4], 'class_name': 'bicycle', 'confidence': 0.775}, {'det_id': '33153326-1042-4782-b5b2-e633cfd4e1a2', 'class_id': 0, 'bbox_xyxy': [79.8, 134.1, 128.9, 160.0], 'class_name': 'car', 'confidence': 0.51}]})
('20b3c015-21eb-4350-95c4-c7251d67736b', '358d6362-7838-4279-a248-6bf0b3770b44', 'tb3_sim', 5, datetime.datetime(1970, 1, 1, 0, 7, 19, 800000, tzinfo=datetime.timezone.utc), 'camera_depth_frame', None, 320, 240, 'rgb8', 0.2362207458320734, -0.357653912783622, 0.0, -0.062176934493633304, 0.0, 0.05033362841700817, True, [40.0], {'tf': {'tf_ok': True, 'base_frame': 'base_footprint', 'camera_frame': 'camera_link', 't_base_camera': [40]}, 'image': {'stamp': {'sec': 439, 'nanosec': 800000000}, 'topic': '/camera/image_raw', 'width': 320, 'height': 240, 'encoding': 'rgb8', 'frame_id': 'camera_depth_frame'}, 'run_id': '358d6362-7838-4279-a248-6bf0b3770b44', 'schema': 'maze.detection.v1', 'event_id': '20b3c015-21eb-4350-95c4-c7251d67736b', 'odometry': {'x': 0.2362207458320734, 'y': -0.357653912783622, 'z': 0.0, 'qw': 0.4150329786813667, 'qx': 0.0, 'qy': 0.0, 'qz': -0.909806367644716, 'vx': -0.062176934493633304, 'vy': 0.0, 'vz': 0.0, 'wx': 0.0, 'wy': 0.0, 'wz': 0.05033362841700817, 'topic': '/odom', 'frame_id': 'odom'}, 'robot_id': 'tb3_sim', 'sequence': 5, 'detections': [{'det_id': 'affc9d0d-c12c-4e03-9dc0-93b3c9a0b88d', 'class_id': 0, 'bbox_xyxy': [0.2, 122.4, 47.7, 162.1], 'class_name': 'bicycle', 'confidence': 0.728}]})
